,Магазин,Координаты и время,Категория,Бренд,Номер карты,Количество товаров,Цена
4065,Технопарк,"('59.90775075,30.32520831', '21:03')",Микроволновая печь,Barum,4272582406584667,97,15099
4066,Рив Гош,"('59.990724,30.2053798', '19:44')",Линер,NIOD,5106164456393318,65,901
4067,Подружка,"('59.9604693,30.3164542', '20:09')",Основа,bareMinerals,4279227495328243,31,195
4068,Citilink,"('59.9992825,30.3597408', '19:16')",Планшет,Miele,5106724599773278,42,17301
4069,ИЛЬ ДЕ БОТЭ,"('59.9347512,30.3332064', '19:13')",Блеск,Laura Mercier,5106577960975020,24,1300
4070,Золотое яблоко,"('59.931709,30.35935454', '19:33')",Крем,Elizabeth Arden,4274616294422695,46,1405
4071,SMEG,"('59.9547305,30.3265232', '16:24')",Стиральная машина,Braun,4276916186730828,10,14000
4072,Технопарк,"('59.90775075,30.32520831', '21:03')",Плеер и аудиотехника,Maxxis,5469230653467108,25,3399
4073,Отдел,"('60.04797585,30.26449915', '13:07')",Пальто,DL1961,5469317568490953,78,16400
4074,Code7,"('59.9595411,30.3145212', '11:19')",Шапка,Mint Velvet,5106227062357296,13,595
4075,Спутник,"('59.9189277,30.346303', '12:43')",Блеск,Herbivore Botanicals,5469885760129682,95,905
4076,DNS,"('59.8835274,30.370143', '10:22')",Плеер и аудиотехника,Inno3D,4272351128664715,30,8905
4077,Code7,"('59.9595411,30.3145212', '11:19')",Шляпа,Ted Baker,5106696353562764,31,1005
4078,Sephora,"('59.92824665,30.35999192', '16:15')",Крем,Tarte Cosmetics,4273994703344355,83,0
4079,Gate31,"('59.9307242,30.345161', '18:45')",Футболка,Gucci,5106230605173934,87,99
4080,Subbota,"('59.9538908,30.296822', '14:00')",Свитер,Hobbs,5469166848540023,69,3105
4081,Subbota,"('59.9538908,30.296822', '14:00')",Костюм,Tommy Hilfiger,4279279721803703,81,2795
4082,Code7,"('59.9595411,30.3145212', '11:19')",Куртка,Coast,5106548923269073,66,8699
4083,Спортмастер,"('59.9128513,30.446262', '20:56')",Джинсы,Kitri,5106892805185013,42,1701
4084,Технопарк,"('59.90775075,30.32520831', '21:03')",Микроволновая печь,Sapphire,4279678586696793,66,11100
4085,Котофото,"('59.9252998,30.3170072', '16:42')",Кондиционер,EVGA,4274389158664306,45,46805
4086,Familia,"('59.92634555,30.32030116', '11:53')",Шляпа,French Connection,5469719411784227,60,1200
4087,Citilink,"('59.9992825,30.3597408', '19:16')",Телевизор,Federal,5469890804179046,28,83305
4088,Code7,"('59.9595411,30.3145212', '11:19')",Плавки,Stella McCartney,5106265768714611,14,5000
4089,Золотое яблоко,"('59.931709,30.35935454', '19:33')",Основа,MAC Cosmetics,4279244706713039,53,2595
4090,Fab Store,"('59.9302169,30.3246437', '11:30')",Блузка,Oasis,5404853681379561,10,5099
4091,123.ru,"('59.90625125,29.70726325', '17:26')",Фотокамера,Pro Comp,4274298332882446,29,4000
4092,М.Видео,"('59.9907784,30.2061089', '15:19')",Монитор,Miele,5106696743323929,19,14600
4093,DNS,"('59.8835274,30.370143', '10:22')",Холодильник,Falken,5106526740461898,70,42100
4094,Stokmann,"('59.9325138,30.3597223', '17:57')",Пальто,Marc Jacobs,4274745887759309,100,8900
4095,Северная Звезда,"('59.8732701,30.3380677', '19:49')",Помада,Cetaphil,4274725262051536,32,495
4096,PiterGSM,"('59.9323949,30.3661284', '11:54')",Принтер,Pirelli,5106423723947933,7,8795
4097,123.ru,"('59.90625125,29.70726325', '17:26')",Кондиционер,Fuzion,5469412058461477,22,27905
4098,Gate31,"('59.9307242,30.345161', '18:45')",Свитер,Isabel Marant,4273216817867804,74,3500
4099,М.Видео,"('59.9907784,30.2061089', '15:19')",Пылесос,BlackBerry,4279336902514774,15,7799
4100,Citilink mini,"('60.0474289,30.3748429', '10:37')",Ноутбук,Centara,5106319198837747,55,24599
4101,123.ru,"('59.90625125,29.70726325', '17:26')",Микроволновая печь,Alcatel,5106517427486435,16,8905
4102,Yves Rocher,"('59.9650697,30.3106416', '15:23')",Блеск,Fenty Beauty,4273805551145936,72,599
4103,Золотое яблоко,"('59.931709,30.35935454', '19:33')",Основа,Boscia,5106419351348416,69,2900
4104,SMEG,"('59.9547305,30.3265232', '16:24')",Монитор,Aerocool,5404844977813695,86,5595
4105,Subbota,"('59.9538908,30.296822', '14:00')",Костюм,Phase Eight,4279312426041721,75,5000
4106,Subbota,"('59.9538908,30.296822', '14:00')",Свитер,Under Armour,4272222553311424,18,2900
4107,Технопарк,"('59.90775075,30.32520831', '21:03')",Гарнитура,Lenovo,4279960288512806,90,2800
4108,Отдел,"('60.04797585,30.26449915', '13:07')",Пальто,Seasalt Cornwall,5106586140882614,48,12105
4109,PiterGSM,"('59.9323949,30.3661284', '11:54')",Видеокамера,Nitto,4273174667032841,67,26495
4110,DNS,"('59.8835274,30.370143', '10:22')",Видеокамера,Grundig,4273724256442463,36,86300
4111,Котофото,"('59.9252998,30.3170072', '16:42')",Телевизор,Michelin,4279650810743422,98,65305
4112,Котофото,"('59.9252998,30.3170072', '16:42')",Видеокамера,Google,4279582826639819,47,8100
4113,ИЛЬ ДЕ БОТЭ,"('59.9347512,30.3332064', '19:13')",Тушь,Peter Thomas Roth,4273946992978522,93,1400
4114,Л'Этуаль,"('59.9263549,30.32150747', '10:22')",Пудра,TheBalm,5404327871059260,47,2801
4115,Sephora,"('59.92824665,30.35999192', '16:15')",Крем,Josie Maran,5469662710392875,96,295
4116,Stokmann,"('59.9325138,30.3597223', '17:57')",Костюм,Topshop,4279229923357486,36,5399
4117,Familia,"('59.92634555,30.32030116', '11:53')",Шапка,Ralph Lauren,4279582231674499,44,1500
4118,Familia,"('59.92634555,30.32030116', '11:53')",Юбка,Barbour,4274717619802844,20,4199
4119,Sephora,"('59.92824665,30.35999192', '16:15')",Парфюм,Yves Saint Laurent,5106746807296853,87,7005
4120,Отдел,"('60.04797585,30.26449915', '13:07')",Футболка,Prada,5469816990508805,61,4601
4121,SMEG,"('59.9547305,30.3265232', '16:24')",Холодильник,Razer,5106606422699077,96,33599
4122,Gate31,"('59.9307242,30.345161', '18:45')",Ветровка,Jaeger,5469669515305015,7,6000
4123,Л'Этуаль,"('59.9263549,30.32150747', '10:22')",Консилер,Elizabeth Arden,5106877737644635,75,3899
4124,Золотое яблоко,"('59.931709,30.35935454', '19:33')",Блеск,Fenty Beauty,4274172336918379,80,1401
4125,Гум,"('59.9937587,30.1931236', '19:11')",Футболка,7 For All Mankind,4272139201110005,26,3095
4126,М.Видео,"('59.9907784,30.2061089', '15:19')",Пылесос,Core i7,4279126205309116,64,8501
4127,М.Видео,"('59.9907784,30.2061089', '15:19')",Холодильник,Siemens,4274664465779835,63,37000
4128,Yves Rocher,"('59.9650697,30.3106416', '15:23')",Крем,Cargo Cosmetics,4276802222373518,61,899
4129,Fab Store,"('59.9302169,30.3246437', '11:30')",Юбка,Steve Madden,5404525443866502,22,3801
4130,Отдел,"('60.04797585,30.26449915', '13:07')",Перчатки,Jigsaw,5106406055823803,29,95
4131,Л'Этуаль,"('59.9263549,30.32150747', '10:22')",Маскара,Benefit Cosmetics,5404370727359591,24,700
4132,Технопарк,"('59.90775075,30.32520831', '21:03')",Кондиционер,Barum,5106712556073850,35,20305
4133,DNS,"('59.8835274,30.370143', '10:22')",Фотокамера,Huawei,4274722169843028,12,4801
4134,Familia,"('59.92634555,30.32030116', '11:53')",Шапка,Warehouse,5106239467971654,40,1095
4135,Fab Store,"('59.9302169,30.3246437', '11:30')",Рубашка,Forever 21,5106213229721991,42,395
4136,Подружка,"('59.9604693,30.3164542', '20:09')",Помада,Revlon,5189700341297809,53,205
4137,Sephora,"('59.92824665,30.35999192', '16:15')",Консилер,Fenty Beauty,4274226591701951,87,299
4138,Спутник,"('59.9189277,30.346303', '12:43')",Крем,Estée Lauder,4279189886717482,23,900
4139,Эльдорадо,"('59.94584125,30.480875', '16:34')",Телевизор,Canon,4274628357169251,86,44600
4140,Отдел,"('60.04797585,30.26449915', '13:07')",Шапка,Peter Pilotto,5106450630435321,38,101
4141,Гум,"('59.9937587,30.1931236', '19:11')",Блузка,Boden,5106647361340919,42,1700
4142,ИЛЬ ДЕ БОТЭ,"('59.9347512,30.3332064', '19:13')",Помада,La Mer,5469891267475047,53,1799
4143,Gate31,"('59.9307242,30.345161', '18:45')",Ветровка,Joseph,4274941637542821,83,5500
4144,Спортмастер,"('59.9128513,30.446262', '20:56')",Юбка,Versace,4279162630263512,67,2100
4145,Fab Store,"('59.9302169,30.3246437', '11:30')",Бикини,Dior,5106934890053288,36,100
4146,Северная Звезда,"('59.8732701,30.3380677', '19:49')",Основа,Boscia,5106574276091551,50,1505
4147,Спутник,"('59.9189277,30.346303', '12:43')",Линер,Fresh,4279707134173493,13,901
4148,Paper Shop,"('59.7933155,30.3309104', '13:56')",Свитер,Mavi Jeans,5106556547265546,64,500
4149,Подружка,"('59.9604693,30.3164542', '20:09')",Тушь,Laura Mercier,5106814519125801,69,601
4150,PiterGSM,"('59.9323949,30.3661284', '11:54')",Стиральная машина,Cordiant,4276625346356560,90,12099
4151,Северная Звезда,"('59.8732701,30.3380677', '19:49')",Тональник,Illamasqua,4279250907213860,82,1705
4152,Спутник,"('59.9189277,30.346303', '12:43')",Тушь,Nuxe,4274586473239895,32,1299
4153,Подружка,"('59.9604693,30.3164542', '20:09')",Основа,Sunday Riley,5404552518903458,98,1900
4154,Котофото,"('59.9252998,30.3170072', '16:42')",Видеокамера,Kumho,5106688426247505,69,23601
4155,Эльдорадо,"('59.94584125,30.480875', '16:34')",Телевизор,NZXT,4274726397914790,78,87405
4156,Эльдорадо,"('59.94584125,30.480875', '16:34')",Принтер,Inno3D,4279198010691310,30,13200
4157,Subbota,"('59.9538908,30.296822', '14:00')",Костюм,JW Anderson,4274450931459277,11,8195
4158,Stokmann,"('59.9325138,30.3597223', '17:57')",Блузка,J Brand,5106623580532492,14,1699
4159,Северная Звезда,"('59.8732701,30.3380677', '19:49')",Основа,Anastasia Beverly Hills,4274678031119861,52,1701
4160,Fab Store,"('59.9302169,30.3246437', '11:30')",Шляпа,Erdem,4273421644729149,51,2500
4161,Северная Звезда,"('59.8732701,30.3380677', '19:49')",Блеск,Kiehl's,4272286965237689,13,1299
4162,MAC Cosmetics,"('59.92738625,30.36147265', '13:55')",Тональник,Yves Saint Laurent,5106507703110825,63,2099
4163,Citilink mini,"('60.0474289,30.3748429', '10:37')",Планшет,Barum,5213962114074474,45,18600
4164,Л'Этуаль,"('59.9263549,30.32150747', '10:22')",Блеск,NYX Professional Makeup,5404975663666346,27,201
4165,MAC Cosmetics,"('59.92738625,30.36147265', '13:55')",Линер,Fresh,4274406964271466,27,1495
4166,Л'Этуаль,"('59.9263549,30.32150747', '10:22')",Румяна,Herbivore,5404945301903790,17,100
4167,Гум,"('59.9937587,30.1931236', '19:11')",Бикини,Frame,5106217008424498,55,3899
4168,Familia,"('59.92634555,30.32030116', '11:53')",Шарф,J Brand,4279907848242578,58,900
4169,Спутник,"('59.9189277,30.346303', '12:43')",Блеск,Buxom,4274398246474059,16,1400
4170,Гум,"('59.9937587,30.1931236', '19:11')",Футболка,Jigsaw,5106683834940492,35,699
4171,Золотое яблоко,"('59.931709,30.35935454', '19:33')",Основа,MAC Cosmetics,5404492526783348,65,2501
4172,Subbota,"('59.9538908,30.296822', '14:00')",Куртка,Forever 21,5106828789586361,16,4105
4173,Спортмастер,"('59.9128513,30.446262', '20:56')",Пальто,Dior,4272543728510208,95,2595
4174,DNS,"('59.8835274,30.370143', '10:22')",Фотокамера,Google,4274197066622506,91,13705
4175,SMEG,"('59.9547305,30.3265232', '16:24')",Планшет,Biostar,5469837910004223,37,38900
4176,Sephora,"('59.92824665,30.35999192', '16:15')",Маскара,Covergirl,4274263023746195,31,1595
4177,Gate31,"('59.9307242,30.345161', '18:45')",Футболка,See by Chloe,5404238546417279,25,3300
4178,Code7,"('59.9595411,30.3145212', '11:19')",Футболка,Oasis,5106601900898417,59,3000
4179,Code7,"('59.9595411,30.3145212', '11:19')",Рубашка,Boden,4274253428704789,54,4095
4180,Paper Shop,"('59.7933155,30.3309104', '13:56')",Шарф,Alexander Wang,5469413955472097,7,200
4181,Subbota,"('59.9538908,30.296822', '14:00')",Пальто,Vanessa Bruno,5106458013280498,44,12905
4182,М.Видео,"('59.9907784,30.2061089', '15:19')",Телевизор,Antec,5106502890037508,72,95705
4183,М.Видео,"('59.9907784,30.2061089', '15:19')",Холодильник,Akuret,4272988106001466,30,88195
4184,MAC Cosmetics,"('59.92738625,30.36147265', '13:55')",Гель,ColourPop,5469632487912511,90,1301
4185,ИЛЬ ДЕ БОТЭ,"('59.9347512,30.3332064', '19:13')",Основа,First Aid Beauty,5106822668723970,42,605
4186,MAC Cosmetics,"('59.92738625,30.36147265', '13:55')",Консилер,Beauty Bakerie,4274931055700360,13,2099
4187,Гум,"('59.9937587,30.1931236', '19:11')",Платье,Iro,5106314994755103,39,1500
4188,Subbota,"('59.9538908,30.296822', '14:00')",Блузка,Chanel,4279831369701401,94,2299
4189,MAC Cosmetics,"('59.92738625,30.36147265', '13:55')",Тональник,Guerlain,5106983356837274,51,5000
4190,Citilink mini,"('60.0474289,30.3748429', '10:37')",Монитор,Honor,5469427963047822,43,27701
4191,Гум,"('59.9937587,30.1931236', '19:11')",Рубашка,Jason Wu,5469602737695212,6,2295
4192,Code7,"('59.9595411,30.3145212', '11:19')",Шорты,Monsoon,5106209186301998,43,1300
4193,Citilink,"('59.9992825,30.3597408', '19:16')",Гарнитура,Mickey Thompson,5106538115103005,18,5
4194,Yves Rocher,"('59.9650697,30.3106416', '15:23')",Тушь,OFRA Cosmetics,5106215551146544,52,99
4195,ИЛЬ ДЕ БОТЭ,"('59.9347512,30.3332064', '19:13')",Тушь,bareMinerals,4279318671875487,63,500
4196,Технопарк,"('59.90775075,30.32520831', '21:03')",Микроволновая печь,BitFenix,4274193180476643,15,11905
4197,Спутник,"('59.9189277,30.346303', '12:43')",Лосьон,Beauty Bakerie,5106217592138098,43,1201
4198,М.Видео,"('59.9907784,30.2061089', '15:19')",Микроволновая печь,Continental,5469816829341110,21,3699
4199,Северная Звезда,"('59.8732701,30.3380677', '19:49')",Тональник,Algenist,4272600141020968,44,7299
4200,Gate31,"('59.9307242,30.345161', '18:45')",Ветровка,Prabal Gurung,4279801359438259,69,1499
4201,Котофото,"('59.9252998,30.3170072', '16:42')",Телевизор,Bose,4274638340189428,16,175305
4202,Золотое яблоко,"('59.931709,30.35935454', '19:33')",Линер,Makeup Forever,5106498721576548,45,1501
4203,Gate31,"('59.9307242,30.345161', '18:45')",Шапка,Stella McCartney,4279429117394054,70,400
4204,Familia,"('59.92634555,30.32030116', '11:53')",Футболка,Karen Millen,4273225175681267,61,6799
4205,Citilink mini,"('60.0474289,30.3748429', '10:37')",Фотокамера,Nexen,5106695242968741,28,15300
4206,Северная Звезда,"('59.8732701,30.3380677', '19:49')",Шампунь,TheBalm,4279913128687947,16,700
4207,М.Видео,"('59.9907784,30.2061089', '15:19')",Принтер,Cougar,4276645886069305,70,20601
4208,Технопарк,"('59.90775075,30.32520831', '21:03')",Смартфон,Fractal Design,5106600939808122,68,83300
4209,Sephora,"('59.92824665,30.35999192', '16:15')",Пудра,Violet Voss,5404348335164742,52,1601
4210,ИЛЬ ДЕ БОТЭ,"('59.9347512,30.3332064', '19:13')",Лосьон,Urban Decay,4279276057993282,19,401
4211,Yves Rocher,"('59.9650697,30.3106416', '15:23')",Румяна,Lorac,5106639219458370,95,99
4212,Гум,"('59.9937587,30.1931236', '19:11')",Джинсы,Reiss,5106904759398245,90,0
4213,Золотое яблоко,"('59.931709,30.35935454', '19:33')",Блеск,Kate Somerville,4274815410242128,57,399
4214,Paper Shop,"('59.7933155,30.3309104', '13:56')",Шапка,Jaeger,5469592660656747,5,3900
4215,Gate31,"('59.9307242,30.345161', '18:45')",Пальто,Jaeger,4272665682441842,44,3100
4216,Stokmann,"('59.9325138,30.3597223', '17:57')",Джинсы,AllSaints,5106827496209975,91,7400
4217,Code7,"('59.9595411,30.3145212', '11:19')",Шорты,Tory Burch,5106454407509783,65,599
4218,Subbota,"('59.9538908,30.296822', '14:00')",Джинсы,Seasalt Cornwall,4279436846651249,77,5301
4219,Sephora,"('59.92824665,30.35999192', '16:15')",Тушь,Laura Geller,5189733208752743,27,0
4220,Gate31,"('59.9307242,30.345161', '18:45')",Костюм,Mint Velvet,5106796037388230,100,6505
4221,Sephora,"('59.92824665,30.35999192', '16:15')",Тональник,Laura Mercier,5106252743608610,11,2805
4222,Подружка,"('59.9604693,30.3164542', '20:09')",Пудра,Murad,4274936405174615,39,2600
4223,Subbota,"('59.9538908,30.296822', '14:00')",Шорты,Lululemon,4272384399659929,65,2700
4224,Yves Rocher,"('59.9650697,30.3106416', '15:23')",Основа,Covergirl,4279423261684031,35,1799
4225,PiterGSM,"('59.9323949,30.3661284', '11:54')",Микроволновая печь,Seasonic,4274363144834349,71,1405
4226,Эльдорадо,"('59.94584125,30.480875', '16:34')",Принтер,Delinte,4272169852206518,78,9300
4227,Котофото,"('59.9252998,30.3170072', '16:42')",Ноутбук,Blacklion,4279753269836858,57,19495
4228,Технопарк,"('59.90775075,30.32520831', '21:03')",Телевизор,Antec,4274604402323861,54,116800
4229,Stokmann,"('59.9325138,30.3597223', '17:57')",Куртка,True Religion,4279408586265135,58,199
4230,Sephora,"('59.92824665,30.35999192', '16:15')",Помада,Kevyn Aucoin,4274621458526214,47,300
4231,Отдел,"('60.04797585,30.26449915', '13:07')",Жилет,Uniqlo,5404193138297913,92,4600
4232,DNS,"('59.8835274,30.370143', '10:22')",Холодильник,Toyo,5106917581333457,89,111105
4233,М.Видео,"('59.9907784,30.2061089', '15:19')",Холодильник,SteelSeries,5106492936339412,64,27700
4234,Рив Гош,"('59.990724,30.2053798', '19:44')",Тональник,GlamGlow,4272204985132487,57,4600
4235,Stokmann,"('59.9325138,30.3597223', '17:57')",Блузка,Joules,4272554015778965,9,3100
4236,Технопарк,"('59.90775075,30.32520831', '21:03')",Планшет,Panasonic,4274842170643126,6,59601
4237,М.Видео,"('59.9907784,30.2061089', '15:19')",Планшет,Cooper,5106650048463887,10,39399
4238,Рив Гош,"('59.990724,30.2053798', '19:44')",Основа,Glossier,4274922152732395,49,2701
4239,Gate31,"('59.9307242,30.345161', '18:45')",Перчатки,Simone Rocha,4279755397187032,10,800
4240,SMEG,"('59.9547305,30.3265232', '16:24')",Фотокамера,Ceat,4276693590412309,48,30500
4241,SMEG,"('59.9547305,30.3265232', '16:24')",Монитор,Logitech,4272809336808068,57,9300
4242,Л'Этуаль,"('59.9263549,30.32150747', '10:22')",Пудра,Lancôme,4272220973569989,85,2505
4243,Stokmann,"('59.9325138,30.3597223', '17:57')",Шапка,See by Chloe,4279423431049487,27,2100
4244,М.Видео,"('59.9907784,30.2061089', '15:19')",Планшет,Grundig,5106607634769685,56,3901
4245,Рив Гош,"('59.990724,30.2053798', '19:44')",Румяна,L'Oreal Paris,4274178492497341,47,2499
4246,Северная Звезда,"('59.8732701,30.3380677', '19:49')",Помада,First Aid Beauty,5106768572940232,87,601
4247,Sephora,"('59.92824665,30.35999192', '16:15')",Линер,Jouer Cosmetics,5106398166364490,13,805
4248,Рив Гош,"('59.990724,30.2053798', '19:44')",Парфюм,bareMinerals,5404239059426253,15,4201
4249,MAC Cosmetics,"('59.92738625,30.36147265', '13:55')",Помада,RMS Beauty,5106704218287914,27,2005
4250,М.Видео,"('59.9907784,30.2061089', '15:19')",Смартфон,Dunlop,5106172209893400,100,37399
4251,Отдел,"('60.04797585,30.26449915', '13:07')",Футболка,Reebok,4276740874727832,75,1099
4252,Paper Shop,"('59.7933155,30.3309104', '13:56')",Шапка,Erdem,5106939157628725,38,2800
4253,Рив Гош,"('59.990724,30.2053798', '19:44')",Консилер,Tatcha,5106447315812135,65,1005
4254,Котофото,"('59.9252998,30.3170072', '16:42')",Фотокамера,Zotac,5106488656996942,33,32701
4255,Спортмастер,"('59.9128513,30.446262', '20:56')",Блузка,Seasalt Cornwall,5106491283320706,16,4600
4256,Эльдорадо,"('59.94584125,30.480875', '16:34')",Микроволновая печь,ZTE,5106346580775665,52,18305
4257,Технопарк,"('59.90775075,30.32520831', '21:03')",Видеокамера,Motorola,5469361298916780,16,17695
4258,Рив Гош,"('59.990724,30.2053798', '19:44')",Тушь,Fenty Beauty,5404163451076799,66,1599
4259,Gate31,"('59.9307242,30.345161', '18:45')",Костюм,Lululemon,5106945133734968,14,15305
4260,Золотое яблоко,"('59.931709,30.35935454', '19:33')",Парфюм,NARS,4279644979684630,83,7599
4261,Котофото,"('59.9252998,30.3170072', '16:42')",Принтер,BenQ,4279386339136353,87,16000
4262,Familia,"('59.92634555,30.32030116', '11:53')",Штаны,Erdem,4279243452924985,6,3495
4263,Subbota,"('59.9538908,30.296822', '14:00')",Рубашка,Alexander Wang,4279228551816898,67,4305
4264,Гум,"('59.9937587,30.1931236', '19:11')",Штаны,Helmut Lang,4279657669195687,25,999
4265,Familia,"('59.92634555,30.32030116', '11:53')",Шляпа,Hobbs,5106228797768519,24,2501
4266,Подружка,"('59.9604693,30.3164542', '20:09')",Парфюм,AmorePacific,4274904380434500,77,2895
4267,Котофото,"('59.9252998,30.3170072', '16:42')",Фотокамера,Core i7,4276864778271681,11,29800
4268,ИЛЬ ДЕ БОТЭ,"('59.9347512,30.3332064', '19:13')",Пудра,Vichy,4272692087771307,89,2695
4269,Citilink,"('59.9992825,30.3597408', '19:16')",Монитор,MSI,4272346909086487,32,1305
4270,SMEG,"('59.9547305,30.3265232', '16:24')",Монитор,Fractal Design,5469560415856311,7,31100
4271,Citilink,"('59.9992825,30.3597408', '19:16')",Смартфон,Vredestein,5404553610369547,46,98801
4272,Технопарк,"('59.90775075,30.32520831', '21:03')",Видеокамера,AMD,4279170256471372,50,11095
4273,MAC Cosmetics,"('59.92738625,30.36147265', '13:55')",Основа,Maybelline,5106666804397215,19,2305
4274,Gate31,"('59.9307242,30.345161', '18:45')",Жилет,Hudson Jeans,5469607111744432,53,900
4275,DNS,"('59.8835274,30.370143', '10:22')",Принтер,JBL,5106560571039659,35,6700
4276,Code7,"('59.9595411,30.3145212', '11:19')",Платье,7 For All Mankind,4274346645724267,49,501
4277,Stokmann,"('59.9325138,30.3597223', '17:57')",Жилет,Joie,5106264866871099,92,1295
4278,Code7,"('59.9595411,30.3145212', '11:19')",Шорты,Equipment,4272465734518617,78,205
4279,Подружка,"('59.9604693,30.3164542', '20:09')",Тушь,Bite Beauty,5106829274069945,17,800
4280,Технопарк,"('59.90775075,30.32520831', '21:03')",Плеер и аудиотехника,Canon,5469401900677820,36,699
4281,Stokmann,"('59.9325138,30.3597223', '17:57')",Шорты,Claudie Pierlot,4274357817254891,34,4599
4282,DNS,"('59.8835274,30.370143', '10:22')",Монитор,Indesit,5106515719566071,77,14900
4283,Familia,"('59.92634555,30.32030116', '11:53')",Шляпа,Ganni,5469343091769037,40,899
4284,Code7,"('59.9595411,30.3145212', '11:19')",Куртка,FRAME,4276768230794487,57,2700
4285,Технопарк,"('59.90775075,30.32520831', '21:03')",Планшет,NZXT,4274241696159751,46,19000
4286,ИЛЬ ДЕ БОТЭ,"('59.9347512,30.3332064', '19:13')",Линер,Marc Jacobs Beauty,4274892336510573,22,600
4287,Gate31,"('59.9307242,30.345161', '18:45')",Пальто,Ba&sh,5469635424420806,66,1200
4288,Citilink mini,"('60.0474289,30.3748429', '10:37')",Холодильник,Acer,5106227120747602,64,26501
4289,М.Видео,"('59.9907784,30.2061089', '15:19')",Микроволновая печь,Microsoft,5106429949661536,72,5105
4290,MAC Cosmetics,"('59.92738625,30.36147265', '13:55')",Маскара,Summer Fridays,5106519743732867,63,1295
4291,Yves Rocher,"('59.9650697,30.3106416', '15:23')",Пудра,Smashbox,5404615596183655,69,4399
4292,Stokmann,"('59.9325138,30.3597223', '17:57')",Футболка,Finery,4279724494434094,25,1205
4293,Code7,"('59.9595411,30.3145212', '11:19')",Шарф,Monsoon,4274241501915159,48,1
4294,Familia,"('59.92634555,30.32030116', '11:53')",Джинсы,AG Jeans,5106661464863539,17,1405
4295,Спутник,"('59.9189277,30.346303', '12:43')",Маскара,Anastasia Beverly Hills,5106227298620363,28,105
4296,MAC Cosmetics,"('59.92738625,30.36147265', '13:55')",Линер,Drunk Elephant,4274151450822484,32,100
4297,Familia,"('59.92634555,30.32030116', '11:53')",Ветровка,A.L.C.,5106439269225069,65,4299
4298,Спутник,"('59.9189277,30.346303', '12:43')",Шампунь,Dior,5106913291742789,83,400
4299,Subbota,"('59.9538908,30.296822', '14:00')",Пальто,Roksanda,4272402969903462,66,7699
4300,Рив Гош,"('59.990724,30.2053798', '19:44')",Линер,Huda Beauty,4272681485431282,63,195
4301,Paper Shop,"('59.7933155,30.3309104', '13:56')",Футболка,The Attico,5106327749541980,53,3001
4302,Спортмастер,"('59.9128513,30.446262', '20:56')",Платье,Iro,4272660557755284,26,3401
4303,DNS,"('59.8835274,30.370143', '10:22')",Видеокамера,Sony,5106304869909333,27,18299
4304,DNS,"('59.8835274,30.370143', '10:22')",Кондиционер,Sony,4272376136412970,69,44400
4305,Золотое яблоко,"('59.931709,30.35935454', '19:33')",Помада,Sunday Riley,5404985467912052,68,1600
4306,Sephora,"('59.92824665,30.35999192', '16:15')",Тушь,Briogeo,4279686935769834,33,1899
4307,Л'Этуаль,"('59.9263549,30.32150747', '10:22')",Помада,Kevyn Aucoin,5469798435340294,65,199
4308,Familia,"('59.92634555,30.32030116', '11:53')",Пальто,Vetements,5106302341507605,34,5801
4309,Fab Store,"('59.9302169,30.3246437', '11:30')",Свитер,The North Face,4279710863299427,58,1200
4310,Подружка,"('59.9604693,30.3164542', '20:09')",Маскара,Cargo Cosmetics,5106376357675254,63,900
4311,Citilink mini,"('60.0474289,30.3748429', '10:37')",Гарнитура,NVIDIA,5106358418888053,83,3400
4312,Спутник,"('59.9189277,30.346303', '12:43')",Основа,Boscia,4279630404209971,12,305
4313,ИЛЬ ДЕ БОТЭ,"('59.9347512,30.3332064', '19:13')",Шампунь,RMS Beauty,4274422309436684,83,1500
4314,Технопарк,"('59.90775075,30.32520831', '21:03')",Телевизор,ZTE,5106505561875345,37,97900
4315,Sephora,"('59.92824665,30.35999192', '16:15')",Тональник,Huda Beauty,5106375958057900,32,2101
4316,ИЛЬ ДЕ БОТЭ,"('59.9347512,30.3332064', '19:13')",Маскара,Dr. Jart+,5404916936804994,41,95
4317,Отдел,"('60.04797585,30.26449915', '13:07')",Жилет,Levi's,5106226281739476,43,2195
4318,Fab Store,"('59.9302169,30.3246437', '11:30')",Куртка,Superdry,4274483592400374,7,199
4319,Северная Звезда,"('59.8732701,30.3380677', '19:49')",Маскара,Youth to the People,5106143960517765,66,499
4320,Gate31,"('59.9307242,30.345161', '18:45')",Жилет,Patagonia,4272762061615919,49,4705
4321,М.Видео,"('59.9907784,30.2061089', '15:19')",Фотокамера,Dunlop,4279747146975291,53,9800
4322,Subbota,"('59.9538908,30.296822', '14:00')",Штаны,Baukjen,4272270714869376,43,500
4323,Yves Rocher,"('59.9650697,30.3106416', '15:23')",Пудра,Bioderma,5106407392539609,48,4195
4324,Subbota,"('59.9538908,30.296822', '14:00')",Штаны,Rebecca Minkoff,5404753398446205,83,6200
4325,Familia,"('59.92634555,30.32030116', '11:53')",Шарф,Kitri,5106558907353496,39,305
4326,Code7,"('59.9595411,30.3145212', '11:19')",Ветровка,Jigsaw,4274688548380065,40,3000
4327,Спортмастер,"('59.9128513,30.446262', '20:56')",Рубашка,Reiss,5106352420552197,71,7899
4328,DNS,"('59.8835274,30.370143', '10:22')",Принтер,Dyson,4279279952600708,57,400
